MODEL_NAME:  optuna_vit1d
Start time:  2023-07-14 15:08:08.274215
cuda:0
Accuracy: 0.8911223591549297
Accuracy: 0.8826804577464789
Accuracy: 0.881786971830986
Accuracy: 0.895774647887324
Accuracy: 0.8923151408450704
Accuracy: 0.8880105633802816
Accuracy: 0.8857922535211268
Accuracy: 0.8836883802816902
Accuracy: 0.8779973591549296
Accuracy: 0.8955237676056339
Accuracy: 0.8772095070422535
Accuracy: 0.8886223591549296
Accuracy: 0.8923503521126761
Accuracy: 0.8862469276685393
Accuracy: 0.8951760563380281
Accuracy: 0.6081401604068857
Accuracy: 0.8946258802816901
Accuracy: 0.8942517605633803
Accuracy: 0.8937279929577464
Accuracy: 0.887411971830986
Accuracy: 0.8818794014084508
Accuracy: 0.880118838028169
Accuracy: 0.8853697183098591
Accuracy: 0.8793177816901409
Accuracy: 0.846294014084507
Accuracy: 0.8608318661971831
